#﻿country medianIncome meanIncome gdpPerCapitaPPP pop2022
Luxembourg 26321 31376 124590 642.3710
UnitedArabEmirates 24292 27017 70089 10081.7850
Norway 22684 25272 70005 5511.3700
Switzerland 21490 25787 72376 8773.6370
UnitedStates 19306 25332 65297 334805.2690
Canada 18652 22042 51668 38388.4190
Austria 18405 20718 60418 9066.7100
Sweden 17625 20193 56632 10218.9710
Denmark 17432 20304 62089 5834.9500
Netherlands 17154 19690 61285 17211.4470
Australia 17076 21329 53381 26068.7920
Iceland 17017 19300 60132 345.3930
Germany 16845 19730 57530 83883.5960
France 16372 19409 50992 65584.5180
Finland 16332 18742 53171 5554.9600
Belgium 16157 17917 56348 11668.2780
UnitedKingdom 14793 18133 49931 68497.9070
Malta 14543 16509 47578 444.0330
Ireland 14520 17938 89683 5020.1990
Japan 14255 17095 43593 125584.8380
Taiwan 13605 16355 0 23888.5950
Italy 13170 15547 45722 60262.7700
Cyprus 13053 15663 41254 1223.3870
SouthKorea 12507 14316 44011 51329.8990
Slovenia 11878 13056 42431 2078.0340
Spain 11786 13822 43495 46719.1420
Israel 10866 13271 42897 8922.8920
Estonia 10651 12540 39986 1321.9100
CzechRepublic 10046 11394 44295 10736.7840
Poland 8885 10155 35165 37739.7850
Portugal 8439 10316 37918 10140.5700
Lithuania 8267 10479 40016 2661.7080
Slovakia 7991 8408 33515 5460.1930
Latvia 7971 9727 33020 1848.8370
Lebanon 7712 9091 15195 6684.8490
Hungary 7684 8613 34966 9606.2590
Uruguay 7533 9888 22515 3496.0160
Malaysia 7512 10200 29619 33181.0720
Croatia 7196 8008 31130 4059.2860
Greece 6936 8131 32506 10316.6370
Belarus 6507 7359 19997 9432.8000
Chile 6293 9304 27002 19250.1950
Panama 6254 9453 32850 4446.9640
BosniaandHerzegovina 5925 7131 16288 3249.3170
Bulgaria 5696 7474 25312 6844.5970
Russia 5504 7275 29181 145805.9470
CostaRica 5457 8440 21737 5182.3540
Maldives 5409 6435 20395 540.9850
Argentina 5319 6935 0 46010.2340
Seychelles 5314 8044 30516 99.4260
Turkey 5251 7267 28133 85561.9760
Romania 5206 5949 33339 19031.3350
Brazil 4559 7654 15299 215353.5930
SaintLucia 4519 6946 16132 185.1130
Ukraine 4434 5010 13341 43192.1220
Serbia 4416 5252 19495 8653.0160
Iran 4360 5924 12937 86022.8370
Thailand 4356 5670 19276 70078.2030
Paraguay 4334 6373 13246 7305.8430
Montenegro 4193 5123 24035 627.9500
DominicanRepublic 4060 5873 19227 11056.3700
NorthMacedonia 3857 4279 18107 2081.3040
Mauritius 3832 4969 23882 1274.7270
Peru 3678 4977 13416 33684.2080
Kazakhstan 3661 4313 27517 19205.0430
Bolivia 3631 4787 9110 11992.6560
Ecuador 3525 5046 11878 18113.3610
Tunisia 3366 4076 11231 12046.6560
Mexico 3315 4929 20944 131562.7720
Colombia 3259 5201 16012 51512.7620
Azerbaijan 3193 3851 15041 10300.2050
Jordan 3185 4025 10517 10300.8690
Vietnam 3149 3881 8397 98953.5410
Moldova 3133 3590 13626 4013.1710
ElSalvador 3095 3989 9164 6550.3890
Jamaica 2899 4429 10193 2985.0940
TrinidadandTobago 2868 3711 27334 1406.5850
Mongolia 2800 3409 12861 3378.0780
Tonga 2782 3677 6665 107.7490
Gabon 2779 3544 15611 2331.5330
Morocco 2716 3721 7826 37772.7560
Venezuela 2710 3741 17527 29266.9910
Nicaragua 2697 3913 5646 6779.1000
Algeria 2612 2996 12019 45350.1480
Albania 2578 3141 14648 2866.3740
Samoa 2537 3418 6795 202.2390
Fiji 2460 3261 14289 909.4660
Bhutan 2446 3189 12355 787.9410
SriLanka 2277 3162 13656 21575.8420
Georgia 2273 2814 15655 3968.7380
Armenia 2216 2810 14257 2971.9660
Tuvalu 2099 2802 4470 12.0660
Guatemala 2036 3103 9019 18584.0390
Guyana 2003 2729 13661 794.0450
Syria 1996 2606 0 19364.8090
Tajikistan 1994 2437 3529 9957.4640
Namibia 1962 4023 10063 2633.8740
Honduras 1959 3109 5981 10221.2470
Iraq 1951 2293 11362 42164.9650
Belize 1927 3246 7314 412.1900
Myanmar 1909 2296 5369 55227.1430
Kyrgyzstan 1892 2235 5485 6728.2710
Ghana 1779 2422 5652 32395.4500
Mauritania 1760 2094 5427 4901.9810
Suriname 1659 2593 17256 596.8310
SouthAfrica 1624 4081 13034 60756.1350
Botswana 1596 2907 18552 2441.1620
Philippines 1581 2199 9302 112508.9940
Kiribati 1489 1858 2372 123.4190
Egypt 1485 1847 0 106156.6920
Micronesia 1413 1858 3547 117.4890
Djibouti 1403 1869 5779 1016.0970
Comoros 1401 2050 3194 907.4190
Pakistan 1399 1797 4898 229488.9940
Gambia 1383 1784 2321 2558.4820
Vanuatu 1379 1781 3292 321.8320
Sudan 1277 1592 4122 45992.0200
Cameroon 1245 1841 3803 27911.5480
Haiti 1162 1540 3034 11680.2830
Lesotho 1157 1659 2824 2175.6990
Nepal 1155 1428 3567 30225.5820
Yemen 1150 1503 3688 31154.8670
Bangladesh 1131 1414 4964 167885.6890
Eswatini 1097 2091 9003 1184.8170
Laos 1065 1389 8172 7481.0230
SolomonIslands 1028 1333 2780 721.1590
IvoryCoast 987 1358 5443 27742.2980
Timor-Leste 970 1147 3709 1369.4290
Zimbabwe 932 1429 2961 15331.4280
Ethiopia 907 1107 2319 120812.6980
SaoTomeandPrincipe 901 1620 4145 227.6790
